Date,Monthly Inflation,Month Number,Year Number
2015-03-01,0.0132,3,2015
2015-04-01,0.0070999999999999995,4,2015
2015-05-01,0.0074,5,2015
2015-06-01,0.0079,6,2015
2015-07-01,0.0062,7,2015
2015-08-01,0.0022,8,2015
2015-09-01,0.0054,9,2015
2015-10-01,0.008199999999999999,10,2015
2015-11-01,0.0101,11,2015
2015-12-01,0.0096,12,2015
2016-01-01,0.0127,1,2016
2016-02-01,0.009000000000000001,2,2016
2016-03-01,0.0043,3,2016
2016-04-01,0.0060999999999999995,4,2016
2016-05-01,0.0078000000000000005,5,2016
2016-06-01,0.0034999999999999996,6,2016
2016-07-01,0.0052,7,2016
2016-08-01,0.0044,8,2016
2016-09-01,0.0008,9,2016
2016-10-01,0.0026,10,2016
2016-11-01,0.0018,11,2016
2016-12-01,0.003,12,2016
2017-01-01,0.0038,1,2017
2017-02-01,0.0033,2,2017
2017-03-01,0.0025,3,2017
2017-04-01,0.0014000000000000002,4,2017
2017-05-01,0.0031,5,2017
2017-06-01,-0.0023,6,2017
2017-07-01,0.0024,7,2017
2017-08-01,0.0019,8,2017
2017-09-01,0.0016,9,2017
2017-10-01,0.0042,10,2017
2017-11-01,0.0028000000000000004,11,2017
2017-12-01,0.0044,12,2017
2018-01-01,0.0029,1,2018
2018-02-01,0.0032,2,2018
2018-03-01,0.0009,3,2018
2018-04-01,0.0022,4,2018
2018-05-01,0.004,5,2018
2018-06-01,0.0126,6,2018
2018-07-01,0.0033,7,2018
2018-08-01,-0.0009,8,2018
2018-09-01,0.0048,9,2018
2018-10-01,0.0045000000000000005,10,2018
2018-11-01,-0.0021,11,2018
2018-12-01,0.0015,12,2018
2019-01-01,0.0032,1,2019
2019-02-01,0.0043,2,2019
2019-03-01,0.0075,3,2019
2019-04-01,0.005699999999999999,4,2019
2019-05-01,0.0013,5,2019
2019-06-01,0.0001,6,2019
2019-07-01,0.0019,7,2019
2019-08-01,0.0011,8,2019
2019-09-01,-0.0004,9,2019
2019-10-01,0.001,10,2019
2019-11-01,0.0051,11,2019
2019-12-01,0.0115,12,2019
2020-01-01,0.0021,1,2020
2020-02-01,0.0025,2,2020
2020-03-01,0.0007000000000000001,3,2020
2020-04-01,-0.0031,4,2020
2020-05-01,-0.0038,5,2020
2020-06-01,0.0026,6,2020
2020-07-01,0.0036,7,2020
2020-08-01,0.0024,8,2020
2020-09-01,0.0064,9,2020
2020-10-01,0.0086,10,2020
2020-11-01,0.0089,11,2020
2020-12-01,0.013500000000000002,12,2020
2021-01-01,0.0025,1,2021
2021-02-01,0.0086,2,2021
2021-03-01,0.009300000000000001,3,2021
2021-04-01,0.0031,4,2021
2021-05-01,0.0083,5,2021
2021-06-01,0.0053,6,2021
2021-07-01,0.0096,7,2021
2021-08-01,0.0087,8,2021
2021-09-01,0.0116,9,2021
2021-10-01,0.0125,10,2021
2021-11-01,0.0095,11,2021
2021-12-01,0.0073,12,2021
2022-01-01,0.0054,1,2022
2022-02-01,0.0101,2,2022
2022-03-01,0.016200000000000003,3,2022
2022-04-01,0.0106,4,2022
2022-05-01,0.004699999999999999,5,2022
2022-06-01,0.0067,6,2022
2022-07-01,-0.0068000000000000005,7,2022
2022-08-01,-0.0036,8,2022
2022-09-01,-0.0029,9,2022
2022-10-01,0.0059,10,2022
2022-11-01,0.0040999999999999995,11,2022
2022-12-01,0.0062,12,2022
2023-01-01,0.0053,1,2023
2023-02-01,0.0084,2,2023
2023-03-01,0.0070999999999999995,3,2023
2023-04-01,0.0060999999999999995,4,2023
2023-05-01,0.0023,5,2023
2023-06-01,-0.0008,6,2023
2023-07-01,0.0012,7,2023
2023-08-01,0.0023,8,2023
2023-09-01,0.0026,9,2023
2023-10-01,0.0024,10,2023
2023-11-01,0.0028000000000000004,11,2023
2023-12-01,0.005600000000000001,12,2023
2024-01-01,0.0042,1,2024
2024-02-01,0.0083,2,2024
2024-03-01,0.0016,3,2024
2024-04-01,0.0038,4,2024
2024-05-01,0.0046,5,2024
2024-06-01,0.0021,6,2024
2024-07-01,0.0038,7,2024
2024-08-01,-0.0002,8,2024
2024-09-01,0.0044,9,2024
2024-10-01,0.005600000000000001,10,2024
2024-11-01,0.0039000000000000003,11,2024
2024-12-01,0.0052,12,2024
2025-01-01,0.0016,1,2025
2025-02-01,0.0131,2,2025
2025-03-01,0.005600000000000001,3,2025
