Date;EURUSD=X;EURGBP=X;GBPUSD=X;GBPEUR=X;GBP=X;EUR=X
2022-05-05;1.0622477531433103;0.8417199850082397;1.261813759803772;1.1878399848937988;0.7925099730491638;0.9413999915122986
2022-05-06;1.0539740324020386;0.8523899912834167;1.2364147901535034;1.1729799509048462;0.8087900280952454;0.9487900137901306
2022-05-09;1.053219199180603;0.8546000123023987;1.2326656579971311;1.1702500581741333;0.8112499713897705;0.9494699835777284
2022-05-10;1.056579828262329;0.8562300205230713;1.2338824272155762;1.1677099466323853;0.81045001745224;0.9464499950408936
2022-05-11;1.0532968044281006;0.8553000092506409;1.2309207916259766;1.168779969215393;0.8123999834060669;0.949400007724762
2022-05-12;1.05124831199646;0.8591300249099731;1.2234212160110474;1.1636899709701538;0.8173800110816956;0.9512500166893004
2022-05-13;1.0379581451416016;0.8500499725341797;1.220613718032837;1.1756000518798828;0.8192600011825562;0.9634299874305724
2022-05-16;1.0400632619857788;0.8483800292015076;1.2258507013320925;1.1785399913787842;0.8157600164413452;0.9614800214767456
2022-05-17;1.0438958406448364;0.8467000126838684;1.2324832677841189;1.1805299520492554;0.8113700151443481;0.957949995994568
2022-05-18;1.0547856092453003;0.8447700142860413;1.2484394311904907;1.1835800409317017;0.8009999990463257;0.9480599761009216
2022-05-19;1.0472739934921265;0.8482000231742859;1.2345831394195557;1.178730010986328;0.8099899888038635;0.954859972000122
2022-05-20;1.057898759841919;0.8487200140953064;1.2462146282196045;1.1779099702835083;0.8024299740791321;0.9452700018882751
2022-05-23;1.056981921195984;0.8452500104904175;1.2504063844680786;1.1828800439834597;0.7997400164604187;0.9460899829864502
2022-05-24;1.0682048797607422;0.8498899936676025;1.256754994392395;1.176419973373413;0.7957000136375427;0.9361500144004822
2022-05-25;1.0736525058746338;0.8557500243186951;1.2542959451675415;1.1680999994277954;0.7972599864006042;0.9314000010490416
2022-05-26;1.0686614513397217;0.8490300178527832;1.258610486984253;1.1775799989700315;0.794526994228363;0.9357500076293944
2022-05-27;1.0732953548431396;0.8505899906158447;1.261734127998352;1.1754599809646606;0.7925599813461304;0.9317100048065186
2022-05-30;1.073145627975464;0.8497400283813477;1.262833595275879;1.1766300201416016;0.7918699979782104;0.9318400025367736
2022-05-31;1.0773539543151855;0.8518199920654297;1.264702081680298;1.173799991607666;0.7907000184059143;0.9282000064849854
2022-06-01;1.0734105110168457;0.8513100147247314;1.2608909606933594;1.1745699644088743;0.7930899858474731;0.9316099882125854
2022-06-02;1.0654165744781494;0.8529899716377258;1.2483147382736206;1.1717000007629397;0.8010799884796143;0.9386000037193298
2022-06-03;1.0751069784164429;0.8547000288963318;1.2579249143600464;1.169950008392334;0.7949600219726562;0.9301400184631348
2022-06-06;1.0726046562194824;0.8585500121116638;1.249230146408081;1.1645900011062622;0.8004930019378662;0.9323099851608276
2022-06-07;1.0691413879394531;0.8535400032997131;1.2523481845855713;1.1711000204086304;0.7985000014305115;0.9353299736976624
2022-06-08;1.0698620080947876;0.8499000072479248;1.2587324380874634;1.176609992980957;0.7944499850273132;0.9347000122070312
2022-06-09;1.071765422821045;0.8546000123023987;1.254028558731079;1.169700026512146;0.7974299788475037;0.9330400228500366
2022-06-10;1.0619205236434937;0.8499900102615356;1.249297261238098;1.1763399839401243;0.8004500269889832;0.9416900277137756
